mach,CD Power-Off
3.2,0.282539276
3.21,0.281679527
3.22,0.280824516
3.23,0.27997417
3.24,0.279128494
3.25,0.278287418
3.26,0.277450939
3.27,0.276618998
3.28,0.275791566
3.29,0.274968621
3.3,0.274150099
3.31,0.273336009
3.32,0.27252629
3.33,0.271720926
3.34,0.270919873
3.35,0.270123095
3.36,0.269330577
3.37,0.268542256
3.38,0.267758132
3.39,0.266978175
3.4,0.266202343
3.41,0.265430601
3.42,0.264662929
3.43,0.263899307
3.44,0.263139672
3.45,0.262384017
3.46,0.261632319
3.47,0.26088454
3.48,0.260140659
3.49,0.259400643
3.5,0.258664465
3.51,0.257932084
3.52,0.257203513
3.53,0.256478676
3.54,0.255757573
3.55,0.255040175
3.56,0.254326444
3.57,0.253616369
3.58,0.252909929
3.59,0.252207072
3.6,0.251507802
3.61,0.250812074
3.62,0.250119863
3.63,0.249431146
3.64,0.248745906
3.65,0.248064129
3.66,0.247385761
3.67,0.246710801
3.68,0.246039224
3.69,0.245370986
3.7,0.244706088
3.71,0.244044489
3.72,0.243386185
3.73,0.242731135
3.74,0.242079319
3.75,0.241430729
3.76,0.240785318
3.77,0.240143083
3.78,0.239503998
3.79,0.238868033
3.8,0.238235185
3.81,0.237605417
3.82,0.236978704
3.83,0.236355035
3.84,0.235734378
3.85,0.235116721
3.86,0.234502059
3.87,0.233890331
3.88,0.233281553
3.89,0.232675686
3.9,0.232072711
3.91,0.231472613
3.92,0.230875375
3.93,0.23028096
3.94,0.229689372
3.95,0.229100579
3.96,0.228514554
3.97,0.227931296
3.98,0.227350766
3.99,0.226772973
4,0.226197857
4.01,0.225647155
4.02,0.225099049
4.03,0.22455351
4.04,0.224010539
4.05,0.223470105
4.06,0.222932204
4.07,0.222396786
4.08,0.221863882
4.09,0.221333439
4.1,0.220805444
4.11,0.220279887
4.12,0.219756761
4.13,0.219236032
4.14,0.218717686
4.15,0.218201711
4.16,0.21768808
4.17,0.21717679
4.18,0.216667838
4.19,0.216161157
4.2,0.215656779
4.21,0.215154666
4.22,0.214654813
4.23,0.214157195
4.24,0.2136618
4.25,0.213168613
4.26,0.212677605
4.27,0.212188793
4.28,0.21170212
4.29,0.211217598
4.3,0.210735209
4.31,0.210254919
4.32,0.209776734
4.33,0.209300632
4.34,0.2088266
4.35,0.208354619
4.36,0.207884676
4.37,0.207416749
4.38,0.206950823
4.39,0.206486906
4.4,0.206024954
4.41,0.205564979
4.42,0.205106952
4.43,0.204650836
4.44,0.204196667
4.45,0.203744381
4.46,0.203294005
4.47,0.202845498
4.48,0.202398864
4.49,0.201954062
4.5,0.201511111
4.51,0.201069975
4.52,0.200630639
4.53,0.200193092
4.54,0.199757338
4.55,0.19932335
4.56,0.198891108
4.57,0.198460607
4.58,0.198031836
4.59,0.197604772
4.6,0.197179422
4.61,0.196755734
4.62,0.196333739
4.63,0.195913379
4.64,0.195494685
4.65,0.195077621
4.66,0.194662171
4.67,0.194248332
4.68,0.193836092
4.69,0.193425422
4.7,0.193016325
4.71,0.192608786
4.72,0.192202792
4.73,0.191798322
4.74,0.191395374
4.75,0.190993938
4.76,0.190593979
4.77,0.190195517
4.78,0.189798505
4.79,0.18940297
4.8,0.189008867
4.81,0.188616191
4.82,0.188224945
4.83,0.187835094
4.84,0.18744665
4.85,0.187059585
4.86,0.186673885
4.87,0.186289553
4.88,0.185906564
4.89,0.185524913
4.9,0.18514458
4.91,0.184765567
4.92,0.184387848
4.93,0.184011419
4.94,0.18363627
4.95,0.183262387
4.96,0.182889756
4.97,0.182518368
4.98,0.182148215
4.99,0.181779271
5,0.181411539
5.01,0.18104501
5.02,0.18067966
5.03,0.180315474
5.04,0.179952476
5.05,0.179590618
5.06,0.179229908
5.07,0.178870328
5.08,0.17851185
5.09,0.178154496
5.1,0.177798226
5.11,0.17744305
5.12,0.177088942
5.13,0.176735907
5.14,0.176383923
5.15,0.176032978
5.16,0.175683081
5.17,0.175334183
5.18,0.174986306
5.19,0.174639435
5.2,0.174293539
5.21,0.173948628
5.22,0.173604689
5.23,0.173261697
5.24,0.17291967
5.25,0.172578572
5.26,0.172238394
5.27,0.171899142
5.28,0.171560785
5.29,0.171223334
5.3,0.170886761
5.31,0.170551068
5.32,0.170216231
5.33,0.169882261
5.34,0.169549124
5.35,0.169216825
5.36,0.168885364
5.37,0.168554693
5.38,0.168224841
5.39,0.167895779
5.4,0.167567502
5.41,0.16724
5.42,0.166913261
5.43,0.166587279
5.44,0.166262044
5.45,0.165937533
5.46,0.16561376
5.47,0.165290691
5.48,0.164968334
5.49,0.164646677
5.5,0.164325695
5.51,0.164005397
5.52,0.163685758
5.53,0.16336679
5.54,0.163048466
5.55,0.162730775
5.56,0.162413718
5.57,0.162097271
5.58,0.161781436
5.59,0.161466201
5.6,0.161151572
5.61,0.160837504
5.62,0.160524028
5.63,0.1602111
5.64,0.159898724
5.65,0.1595869
5.66,0.159275609
5.67,0.158964839
5.68,0.158654589
5.69,0.158344844
5.7,0.158035595
5.71,0.157726848
5.72,0.157418579
5.73,0.157110767
5.74,0.156803421
5.75,0.156496522
5.76,0.156190085
5.77,0.155884069
5.78,0.155578471
5.79,0.155273303
5.8,0.154968542
5.81,0.154664175
5.82,0.154361222
5.83,0.15412703
5.84,0.153892956
5.85,0.153658998
5.86,0.153425138
5.87,0.153191393
5.88,0.152957727
5.89,0.152724147
5.9,0.152490644
5.91,0.152257218
5.92,0.152023847
5.93,0.151790523
5.94,0.151557252
5.95,0.151324019
5.96,0.151090818
5.97,0.150857648
5.98,0.150624493
5.99,0.150391332
6,0.150158197
6.01,0.149942704
6.02,0.1497476
6.03,0.149552924
6.04,0.149358668
6.05,0.149164857
6.06,0.148971456
6.07,0.148778492
6.08,0.148585937
6.09,0.148393816
6.1,0.148202103
6.11,0.148010812
6.12,0.147819937
6.13,0.147629474
6.14,0.147439425
6.15,0.147249785
6.16,0.147060543
6.17,0.14687172
6.18,0.146683294
6.19,0.146495274
6.2,0.146307648
6.21,0.146120432
6.22,0.145933607
6.23,0.145747179
6.24,0.145561155
6.25,0.145375518
6.26,0.145190259
6.27,0.1450054
6.28,0.14482093
6.29,0.144636851
6.3,0.144453153
6.31,0.144269831
6.32,0.144086889
6.33,0.143904336
6.34,0.143722153
6.35,0.143540347
6.36,0.143358936
6.37,0.143177878
6.38,0.1429972
6.39,0.142816892
6.4,0.142636936
6.41,0.142457363
6.42,0.14227815
6.43,0.14209932
6.44,0.141920824
6.45,0.141742719
6.46,0.141564943
6.47,0.14138755
6.48,0.141210499
6.49,0.141033816
6.5,0.140857473
6.51,0.14068148
6.52,0.140505852
6.53,0.140330569
6.54,0.140155641
6.55,0.139981045
6.56,0.139806809
6.57,0.1396329
6.58,0.139459343
6.59,0.139286133
6.6,0.139113251
6.61,0.138940713
6.62,0.138768511
6.63,0.138596658
6.64,0.138425117
6.65,0.138253919
6.66,0.138083047
6.67,0.137912518
6.68,0.137742307
6.69,0.137572427
6.7,0.137402877
6.71,0.137233632
6.72,0.137064733
6.73,0.136896144
6.74,0.136727893
6.75,0.136559953
6.76,0.136392319
6.77,0.136225002
6.78,0.136058013
6.79,0.135891335
6.8,0.135724972
6.81,0.135558914
6.82,0.13539317
6.83,0.135227748
6.84,0.135062612
6.85,0.134897793
6.86,0.134733287
6.87,0.134569074
6.88,0.134405168
6.89,0.13424157
6.9,0.13407827
6.91,0.133915265
6.92,0.133752564
6.93,0.133590157
6.94,0.133428053
6.95,0.13326624
6.96,0.133104712
6.97,0.132943485
6.98,0.132782542
6.99,0.132621905
7,0.132470193
7.01,0.132336725
7.02,0.13220368
7.03,0.132071046
7.04,0.131938839
7.05,0.131807039
7.06,0.13167566
7.07,0.131544696
7.08,0.131414124
7.09,0.131283986
7.1,0.131154239
7.11,0.131024896
7.12,0.130895959
7.13,0.13076743
7.14,0.130639297
7.15,0.130511554
7.16,0.130384215
7.17,0.130257258
7.18,0.13013071
7.19,0.130004539
7.2,0.129878766
7.21,0.129753381
7.22,0.129628381
7.23,0.129503772
7.24,0.129379545
7.25,0.129255687
7.26,0.129132221
7.27,0.129009125
7.28,0.128886416
7.29,0.128764072
7.3,0.128642116
7.31,0.128520511
7.32,0.128399291
7.33,0.128278436
7.34,0.128157949
7.35,0.128037825
7.36,0.127918062
7.37,0.127798662
7.38,0.127679629
7.39,0.127560954
7.4,0.127442646
7.41,0.12732469
7.42,0.127207083
7.43,0.127089832
7.44,0.126972927
7.45,0.126856387
7.46,0.126740189
7.47,0.126624328
7.48,0.126508837
7.49,0.12639368
7.5,0.126278863
7.51,0.126164398
7.52,0.126050262
7.53,0.125936476
7.54,0.125823015
7.55,0.125709903
7.56,0.125597122
7.57,0.125484676
7.58,0.125372567
7.59,0.125260779
7.6,0.125149324
7.61,0.125038201
7.62,0.124927407
7.63,0.124816936
7.64,0.124706785
7.65,0.124596962
7.66,0.124487463
7.67,0.124378281
7.68,0.124269424
7.69,0.124160891
7.7,0.124052657
7.71,0.123944748
7.72,0.123837163
7.73,0.123729879
7.74,0.123622904
7.75,0.123516251
7.76,0.123409896
7.77,0.123303857
7.78,0.123198123
7.79,0.123092694
7.8,0.122987574
7.81,0.122882748
7.82,0.122778233
7.83,0.122674015
7.84,0.122570103
7.85,0.122466478
7.86,0.12236315
7.87,0.122260127
7.88,0.122157398
7.89,0.122054957
7.9,0.121952816
7.91,0.121850962
7.92,0.121749394
7.93,0.121648123
7.94,0.121547143
7.95,0.121446441
7.96,0.12134603
7.97,0.121245907
7.98,0.121146063
7.99,0.121046495
8,0.120947229
8.01,0.120848221
8.02,0.120749502
8.03,0.120651059
8.04,0.120552903
8.05,0.120455005
8.06,0.120357388
8.07,0.120260051
8.08,0.120162985
8.09,0.120066187
8.1,0.119969671
8.11,0.119873403
8.12,0.119777414
8.13,0.119681699
8.14,0.119586258
8.15,0.119491065
8.16,0.119396148
8.17,0.119301485
8.18,0.119207084
8.19,0.119112958
8.2,0.119019088
8.21,0.11892547
8.22,0.118832114
8.23,0.118739017
8.24,0.118646175
8.25,0.118553591
8.26,0.118461253
8.27,0.118369184
8.28,0.118277356
8.29,0.118185783
8.3,0.118094463
8.31,0.118003391
8.32,0.117912562
8.33,0.117821992
8.34,0.117731667
8.35,0.117641581
8.36,0.117551746
8.37,0.117462161
8.38,0.117372811
8.39,0.117283693
8.4,0.117194832
8.41,0.117106202
8.42,0.117017828
8.43,0.116929681
8.44,0.116841773
8.45,0.116754099
8.46,0.116666662
8.47,0.116579465
8.48,0.116492503
8.49,0.116405773
8.5,0.116319272
8.51,0.116233015
8.52,0.11614697
8.53,0.11606117
8.54,0.115975589
8.55,0.115890243
8.56,0.115805127
8.57,0.115720229
8.58,0.115635562
8.59,0.11555112
8.6,0.115466899
8.61,0.115382904
8.62,0.115299139
8.63,0.115215586
8.64,0.115132253
8.65,0.115049151
8.66,0.114966255
8.67,0.11488359
8.68,0.114801137
8.69,0.114718905
8.7,0.114636886
8.71,0.114555074
8.72,0.114473487
8.73,0.114392118
8.74,0.114310949
8.75,0.114229999
8.76,0.11414926
8.77,0.114068731
8.78,0.113988421
8.79,0.113908306
8.8,0.1138284
8.81,0.113748716
8.82,0.113669231
8.83,0.113589952
8.84,0.113510883
8.85,0.113432004
8.86,0.113353341
8.87,0.113274884
8.88,0.113196624
8.89,0.113118563
8.9,0.113040709
8.91,0.112963053
8.92,0.112885607
8.93,0.112808349
8.94,0.112731283
8.95,0.112654429
8.96,0.112577765
8.97,0.112501307
8.98,0.112425029
8.99,0.112348954
9,0.11227308
9.01,0.112197385
9.02,0.112121889
9.03,0.112046586
9.04,0.111971472
9.05,0.111896552
