mach,CD Power-On
3.2,0.259960307
3.21,0.259177704
3.22,0.258399839
3.23,0.257626639
3.24,0.256858108
3.25,0.256094179
3.26,0.255334846
3.27,0.254580051
3.28,0.253829765
3.29,0.253083966
3.3,0.25234259
3.31,0.251605646
3.32,0.250873073
3.33,0.250144855
3.34,0.249420948
3.35,0.248701316
3.36,0.247985943
3.37,0.247274769
3.38,0.246567791
3.39,0.245864979
3.4,0.245166293
3.41,0.244471697
3.42,0.243781172
3.43,0.243094695
3.44,0.242412206
3.45,0.241733698
3.46,0.241059145
3.47,0.240388512
3.48,0.239721777
3.49,0.239058907
3.5,0.238399875
3.51,0.23774464
3.52,0.237093215
3.53,0.236445523
3.54,0.235801566
3.55,0.235161315
3.56,0.23452473
3.57,0.2338918
3.58,0.233262506
3.59,0.232636796
3.6,0.232014671
3.61,0.231396089
3.62,0.230781024
3.63,0.230169453
3.64,0.229561359
3.65,0.228956728
3.66,0.228355507
3.67,0.227757692
3.68,0.227163261
3.69,0.226572169
3.7,0.225984417
3.71,0.225399964
3.72,0.224818806
3.73,0.224240902
3.74,0.223666232
3.75,0.223094788
3.76,0.222526523
3.77,0.221961434
3.78,0.221399495
3.79,0.220840676
3.8,0.220284974
3.81,0.219732352
3.82,0.219182785
3.83,0.218636261
3.84,0.21809275
3.85,0.217552239
3.86,0.216987367
3.87,0.216425428
3.88,0.21586644
3.89,0.215310363
3.9,0.214757178
3.91,0.21420687
3.92,0.213659421
3.93,0.213114796
3.94,0.212572997
3.95,0.212033994
3.96,0.211497759
3.97,0.21096429
3.98,0.21043355
3.99,0.209905546
4,0.20938022
4.01,0.208879308
4.02,0.208380991
4.03,0.207885243
4.04,0.207392061
4.05,0.206901416
4.06,0.206413305
4.07,0.205927676
4.08,0.205444562
4.09,0.204963909
4.1,0.204485704
4.11,0.204009936
4.12,0.2035366
4.13,0.203065661
4.14,0.202597104
4.15,0.202130919
4.16,0.201667078
4.17,0.201205578
4.18,0.200746415
4.19,0.200289523
4.2,0.199834935
4.21,0.199382612
4.22,0.198932549
4.23,0.19848472
4.24,0.198039115
4.25,0.197595718
4.26,0.197154499
4.27,0.196715477
4.28,0.196278593
4.29,0.195843861
4.3,0.195411262
4.31,0.194980762
4.32,0.194552366
4.33,0.194126054
4.34,0.193701812
4.35,0.19327962
4.36,0.192859467
4.37,0.192441329
4.38,0.192025193
4.39,0.191617668
4.4,0.19122724
4.41,0.190838353
4.42,0.190450979
4.43,0.190065086
4.44,0.189680713
4.45,0.1892978
4.46,0.188916376
4.47,0.188536405
4.48,0.188157893
4.49,0.187780801
4.5,0.187405154
4.51,0.187030917
4.52,0.186658079
4.53,0.186286631
4.54,0.185916581
4.55,0.185547905
4.56,0.185180585
4.57,0.18481462
4.58,0.184450002
4.59,0.18408671
4.6,0.183724753
4.61,0.183364085
4.62,0.183004737
4.63,0.182646655
4.64,0.182289872
4.65,0.181934356
4.66,0.181580093
4.67,0.181227082
4.68,0.180875314
4.69,0.180524762
4.7,0.180175434
4.71,0.179827316
4.72,0.179480397
4.73,0.17913466
4.74,0.178790104
4.75,0.178446722
4.76,0.178104482
4.77,0.177763407
4.78,0.177423451
4.79,0.177084644
4.8,0.176746943
4.81,0.176410345
4.82,0.176074857
4.83,0.175740446
4.84,0.175407125
4.85,0.175074869
4.86,0.174743667
4.87,0.174413523
4.88,0.174084414
4.89,0.173756339
4.9,0.173429279
4.91,0.173103238
4.92,0.172778192
4.93,0.172454141
4.94,0.172131074
4.95,0.171808982
4.96,0.171487852
4.97,0.171167676
4.98,0.17084845
4.99,0.170530149
5,0.170212778
